id,latitude,longitude,name
AR000877500,-38.7330,-62.1670,"BAHIA BLANCA AERO"
ARM00087016,-23.1530,-64.3290,"ORAN"
ARM00087022,-22.6200,-63.7940,"GENERAL ENRIQUE MOSCONI TARTA"
ARM00087046,-24.3930,-65.0980,"JUJUY"
ARM00087121,-26.8410,-65.1050,"TENIENTE BENJAMIN MATIENZO"
ARM00087148,-26.7330,-60.4830,"PRESIDENCIA ROQUE SAENZ PENA"
ARM00087162,-26.2130,-58.2280,"FORMOSA"
ARM00087166,-27.4460,-58.7620,"CORRIENTES"
ARM00087178,-27.3860,-55.9710,"POSADAS"
ARM00087213,-29.2330,-67.4330,"CHILECITO AERO"
ARM00087222,-28.5960,-65.7520,"CATAMARCA"
ARM00087244,-29.9000,-63.6830,"VILLA MARIA DEL RIO"
ARM00087289,-29.6890,-57.1520,"PASO DE LOS LIBRES"
ARM00087311,-31.5710,-68.4180,"SAN JUAN"
ARM00087320,-30.3670,-66.2830,"CHAMICAL AERO"
ARM00087328,-31.9450,-65.1460,"VILLA DOLORES"
ARM00087345,-31.4000,-64.1830,"CORDOBA OBSERVATORIO"
ARM00087349,-31.6670,-63.8830,"PILAR OBSERVATORIO"
ARM00087395,-31.2970,-57.9970,"COMODORO PIERRESTEGUI"
ARM00087416,-33.0830,-68.4170,"SAN MARTIN"
ARM00087420,-32.8830,-68.8500,"MENDOZA OBSERVATORIO"
ARM00087436,-33.2730,-66.3560,"SAN LUIS"
ARM00087448,-33.7300,-65.3870,"VILLA REYNOLDS"
ARM00087453,-33.0850,-64.2610,"RIO CUARTO AREA DE MATERIAL"
ARM00087467,-32.6840,-62.1580,"MARCOS JUAREZ"
ARM00087480,-32.9040,-60.7850,"ROSARIO"
ARM00087497,-33.0100,-58.6130,"GUALEGUAYCHU"
ARM00087506,-35.4940,-69.5740,"MALARGUE"
ARM00087509,-34.5880,-68.4030,"SAN RAFAEL"
ARM00087532,-35.6960,-63.7580,"GENERAL PICO"
ARM00087548,-34.5460,-60.9310,"JUNIN"
ARM00087550,-35.4500,-60.8830,"NUEVE DE JULIO"
ARM00087563,-36.0670,-59.1000,"LAS FLORES"
ARM00087576,-34.8220,-58.5360,"MINISTRO PISTARINI"
ARM00087582,-34.5590,-58.4160,"AEROPARQUE JORGE NEWBERY"
ARM00087593,-34.9720,-57.8950,"LA PLATA"
ARM00087596,-35.3670,-57.2830,"PUNTA INDIO B.A."
ARM00087637,-37.4330,-61.8830,"CORONEL SUAREZ AERO"
ARM00087640,-36.2000,-61.0670,"BOLIVAR AERO"
ARM00087641,-36.8330,-59.8830,"AZUL AERO"
ARM00087643,-36.8830,-60.2170,"OLAVARRIA AERO"
ARM00087645,-37.2370,-59.2280,"TANDIL"
ARM00087648,-36.3500,-57.7330,"DOLORES AIRPORT"
ARM00087679,-37.6000,-62.3830,"PIGUE AIRPORT"
ARM00087688,-38.3870,-60.3300,"TRES ARROYOS"
ARM00087765,-41.1510,-71.1580,"SAN CARLOS DE BARILOCHE"
ARM00087774,-41.2500,-68.7330,"MAQUINCHAO"
ARM00087784,-40.7830,-65.1000,"SAN ANTONIO OESTE AERO"
ARM00087791,-40.8690,-63.0000,"GOBERNADOR CASTELLO"
ARM00087800,-41.9430,-71.5320,"EL BOLSON"
ARM00087814,-43.8170,-68.8830,"PASO DE INDIOS"
ARM00087823,-42.7330,-65.0670,"P.MADRYN AERO"
ARM00087852,-46.5170,-71.0170,"PERITO MORENO ARPT"
ARM00087880,-48.7830,-70.1670,"GOBERNADOR GREGORES"
ARM00087896,-47.7350,-65.9040,"PUERTO DESEADO"
ARM00087904,-50.2670,-72.0500,"EL CALAFATE AERO"
ARM00087909,-49.3070,-67.8030,"SAN JULIAN"
ARM00087934,-53.7780,-67.7490,"RIO GRANDE"
ARM00087938,-54.8430,-68.2960,"USHUAIA MALVINAS ARGENTINAS"
ASM00094299,-16.2880,149.9650,"WILLIS ISLAND"
ASM00094995,-31.5420,159.0790,"LORD HOWE ISLAND AERO"
ASM00094998,-54.4990,158.9370,"MACQUARIE ISLAND"
ASN00001006,-15.5100,128.1503,"WYNDHAM AERO"
ASN00001007,-13.7542,126.1485,"TROUGHTON ISLAND"
ASN00001010,-14.7883,126.4964,"THEDA"
ASN00001014,-15.9078,128.1289,"EMMA GORGE"
ASN00001019,-14.2964,126.6453,"KALUMBURU"
ASN00001020,-14.0900,126.3867,"TRUSCOTT"
ASN00001023,-16.0086,127.9806,"EL QUESTRO"
ASN00001024,-15.9572,127.0628,"ELLENBRAE"
ASN00001025,-15.3797,126.3114,"DOONGAN"
ASN00001026,-15.7025,126.3786,"DRYSDALE RIVER STATION"
ASN00001027,-15.6394,128.0803,"DIGGERS REST"
ASN00001031,-13.9600,127.1964,"FARAWAY BAY"
ASN00001035,-15.5969,128.2781,"PARRY CREEK FARM"
ASN00002009,-16.4203,126.4411,"GIBB RIVER"
ASN00002012,-18.2292,127.6636,"HALLS CREEK AIRPORT"
ASN00002020,-18.1894,127.5011,"MOOLA BULLA"
ASN00002021,-18.3869,126.9892,"MOUNT AMHURST"
ASN00002022,-18.0160,126.3033,"MOUNT WINIFRED"
ASN00002023,-18.0308,128.8942,"NICHOLSON"
ASN00002026,-18.5958,127.6419,"RUBY PLAINS"
ASN00002029,-19.1625,128.1633,"STURT CREEK"
ASN00002030,-17.2964,126.9150,"YULMBU"
ASN00002032,-17.0156,128.2175,"WARMUN"
ASN00002036,-17.3922,126.2306,"OLD MORNINGTON HOMESTEAD"
ASN00002043,-18.3368,126.1243,"MOUNT KRAUSS"
ASN00002044,-16.1119,128.7414,"LAKE ARGYLE RESORT"
ASN00002048,-18.2972,128.4419,"FLORA VALLEY"
ASN00002049,-18.1947,127.8147,"SOPHIE DOWNS"
ASN00002050,-17.7842,127.6853,"SPRINGVALE"
ASN00002051,-19.5561,127.6644,"BILLILUNA"
ASN00002053,-17.6133,126.7442,"LANSDOWNE"
ASN00002056,-15.7814,128.7100,"KUNUNURRA AERO"
ASN00002060,-16.0397,128.4150,"KINGSTON REST"
ASN00002061,-19.2353,127.7692,"CARRANYA STATION"
ASN00002064,-16.6381,128.4517,"ARGYLE AERODROME"
ASN00002067,-15.9816,128.9991,"KUNUNURRA CHECKPOINT"
ASN00002069,-16.4433,127.7836,"KACHANA"
ASN00003001,-17.2767,122.5711,"COUNTRY DOWNS"
ASN00003003,-17.9475,122.2353,"BROOME AIRPORT"
ASN00003009,-18.3550,125.3033,"JUBILEE DOWNS"
ASN00003010,-17.3897,124.3578,"KIMBERLEY DOWNS"
ASN00003014,-18.2914,125.5869,"GOGO STATION"
ASN00003015,-17.3681,123.9956,"MEDA"
ASN00003018,-18.1219,124.2692,"MYROODAH"
ASN00003019,-17.3306,124.8167,"NAPIER DOWNS"
ASN00003024,-17.9464,123.7383,"UDIALLA"
ASN00003027,-18.1386,125.7764,"FOSSIL DOWNS"
ASN00003028,-19.2536,121.4861,"ANNA PLAINS"
ASN00003030,-18.6844,121.7803,"BIDYADANGA"
ASN00003032,-17.3706,123.6611,"DERBY AERO"
ASN00003040,-17.9903,124.1922,"CAMBALLIN"
ASN00003041,-17.6925,122.7128,"KILTO STATION"
ASN00003048,-18.9158,125.5264,"CHERRABUN"
ASN00003051,-16.7372,125.9086,"MOUNT BARNETT"
ASN00003052,-16.8206,124.9158,"MOUNT HART STATION"
ASN00003057,-16.4514,123.0086,"CYGNET BAY"
ASN00003059,-19.0861,121.6764,"NITA DOWNS"
ASN00003063,-16.7150,125.4586,"BEVERLEY SPRINGS"
ASN00003066,-18.5175,121.8072,"PORT SMITH"
ASN00003068,-18.5075,123.4561,"DAMPIER DOWNS"
ASN00003075,-17.3117,123.6356,"DERBY RFDS"
ASN00003080,-17.5736,123.8217,"CURTIN AERO"
ASN00003084,-17.3436,123.6781,"DERBY (MANNING RD)"
ASN00003088,-18.8375,126.5247,"LARRAWA"
ASN00003090,-17.7981,124.0772,"DEBESA"
ASN00003093,-18.1814,125.5619,"FITZROY CROSSING AERO"
ASN00003098,-17.0549,125.7108,"MOUNT HOUSE AIRSTRIP"
ASN00003100,-17.9503,124.2653,"LIVERINGA STATION"
ASN00003105,-18.1133,125.3428,"LAUREL DOWNS"
ASN00004004,-20.9264,120.2075,"BAMBOO CREEK"
ASN00004006,-22.1828,119.9350,"BONNEY DOWNS"
ASN00004008,-20.6392,119.2431,"CARLINDIE"
ASN00004012,-20.1764,119.1906,"DE GREY"
ASN00004016,-20.7867,118.5972,"INDEE"
ASN00004019,-19.7419,120.8436,"MANDORA"
ASN00004022,-20.6333,120.0544,"MUCCAN"
ASN00004026,-22.2914,120.1761,"NOREENA DOWNS"
ASN00004028,-20.1078,119.5811,"PARDOO STATION"
ASN00004032,-20.3725,118.6317,"PORT HEDLAND AIRPORT"
ASN00004033,-21.0561,117.4436,"PYRAMID STATION"
ASN00004038,-20.7483,118.8172,"WALLAREENYA"
ASN00004039,-20.9469,117.3733,"WARAMBIE"
ASN00004041,-20.8503,120.6950,"WARRAWAGINE"
ASN00004046,-20.6739,120.2044,"YARRIE"
ASN00004068,-19.7789,120.6417,"WALLAL DOWNS"
ASN00004083,-20.7097,116.7742,"KARRATHA AERO"
ASN00004086,-20.8956,117.6447,"SHERLOCK"
ASN00004090,-20.7594,117.1583,"ROEBOURNE AERO"
ASN00004102,-21.2933,120.4658,"MEENTHEENA"
ASN00004106,-21.1756,119.7497,"MARBLE BAR"
ASN00005001,-21.8047,117.8056,"COOLAWANYAH"
ASN00005006,-22.9119,116.2903,"KOOLINE"
ASN00005007,-22.2406,114.0967,"LEARMONTH AIRPORT"
ASN00005008,-21.1906,115.9797,"MARDIE"
ASN00005012,-21.5906,117.0656,"MILLSTREAM"
ASN00005013,-21.9961,115.0456,"MINDEROO"
ASN00005014,-21.7869,117.8647,"MOUNT FLORANCE"
ASN00005017,-21.6689,115.1092,"ONSLOW AIRPORT"
ASN00005022,-21.9750,116.0653,"RED HILL"
